Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,30_day_MA,Daily_Return,Volatility
1999-01-22,0.04375,0.048828,0.038802,0.041016,0.037621,2714688000,,,,
1999-01-25,0.044271,0.045833,0.041016,0.045313,0.041562,510480000,,,0.10476399453871665,
1999-01-26,0.045833,0.046745,0.041146,0.041797,0.038337,343200000,,,-0.07759362655308633,
1999-01-27,0.041927,0.042969,0.039583,0.041667,0.038218,244368000,,,-0.0031102710720865012,
1999-01-28,0.041667,0.041927,0.041276,0.041536,0.038098,227520000,,,-0.003143974848201392,
1999-01-29,0.041536,0.041667,0.039583,0.039583,0.036307,244032000,,,-0.0470194530046224,
1999-02-01,0.039583,0.040625,0.039583,0.040365,0.037024,154704000,0.041611,,0.01975595583962808,
1999-02-02,0.039583,0.040625,0.036068,0.03724,0.034158,264096000,0.04107157142857143,,-0.07741855567942513,
1999-02-03,0.036719,0.038542,0.036458,0.038021,0.034874,75120000,0.04002985714285714,,0.020972073039742023,
1999-02-04,0.038542,0.041146,0.038021,0.040104,0.036784,181920000,0.039788,,0.054785513268982955,
1999-02-05,0.040755,0.041667,0.039714,0.041276,0.037859,136848000,0.03973214285714286,,0.02922401755435855,
1999-02-08,0.041536,0.041667,0.039844,0.039844,0.036546,154080000,0.03949042857142857,,-0.03469328423296836,
1999-02-09,0.040625,0.040885,0.03776,0.038281,0.035112,86976000,0.039304428571428573,,-0.03922798915771497,
1999-02-10,0.038281,0.039323,0.03724,0.037891,0.034755,148224000,0.038951000000000006,,-0.010187821634753624,
1999-02-11,0.038021,0.042708,0.038021,0.041146,0.03774,132240000,0.039509,,0.08590430445224473,
1999-02-12,0.041667,0.04375,0.041667,0.04349,0.03989,109728000,0.040290285714285716,,0.056967870509891494,
1999-02-16,0.044271,0.046094,0.039323,0.04375,0.040129,211008000,0.04081114285714286,,0.005978385835824218,
1999-02-17,0.042708,0.043229,0.040625,0.041406,0.037979,67728000,0.04082971428571429,,-0.05357714285714288,
1999-02-18,0.042708,0.043229,0.040885,0.042057,0.038576,70704000,0.04114585714285714,,0.015722359078394366,
1999-02-19,0.041667,0.044271,0.041146,0.04349,0.03989,75360000,0.04189,,0.03407280595382467,
1999-02-22,0.044271,0.044792,0.041406,0.04375,0.040129,205248000,0.042727,,0.005978385835824218,
1999-02-23,0.044792,0.046745,0.042188,0.045833,0.042039,138096000,0.04339657142857143,,0.04761142857142864,
1999-02-24,0.052604,0.054688,0.048307,0.049479,0.045383,612768000,0.04425214285714285,,0.07954966945214159,
1999-02-25,0.051563,0.053125,0.047135,0.047917,0.043951,149136000,0.04484742857142857,,-0.03156894844277369,
1999-02-26,0.048438,0.05,0.045313,0.045703,0.04192,172608000,0.04546128571428571,,-0.04620489596594113,
1999-03-01,0.046875,0.047917,0.04375,0.045964,0.042159,92160000,0.04601942857142858,,0.0057107848500097536,
1999-03-02,0.045833,0.046094,0.044792,0.045573,0.041801,55248000,0.046317,,-0.008506657384039551,
1999-03-03,0.045833,0.045833,0.042188,0.042448,0.038934,61392000,0.046131,,-0.06857130318390281,
1999-03-04,0.044531,0.044792,0.041146,0.041536,0.038098,57360000,0.04551714285714286,,-0.02148511119487384,
1999-03-05,0.041927,0.04401,0.041927,0.04388,0.040248,78768000,0.044717285714285716,0.04237853333333333,0.056432973805855324,
